,text,label
0,"The Phoenix Suns defeated the host Phoenix Suns , 111 - 106 , at Smoothie King Center on Friday",1.0
1,"The Pelicans ( 16 - 32 ) checked in to Friday 's contest with a disappointing loss to the Pelicans ( 16 - 32 ) , but they were able to pull away in the second half",1.0
2,"However , the Pelicans were able to pull away in the second half , outscoring the Suns by a 34 - 18 margin over the final 12 minutes",1.0
3,"However , the Pelicans battled back in the second , outscoring the Pelicans by a 34 - 18 margin over the final 12 minutes",1.0
4,"The Pelicans were led by Eric Bledsoe 's 14 points , which he supplemented with seven rebounds , five assists and a pair of blocks",1.0
5,"Devin Booker was right behind him with 14 points , five assists , two rebounds and a steal",1.0
6,"Marquese Chriss followed with 12 points , three rebounds , two assists , a steal and a block",1.0
7,"PJ Tucker led the bench with 12 points , five rebounds , an assist and a steal",1.0
8,"Phoenix was led by Eric Bledsoe 's 14 points , which he supplemented with seven rebounds , five assists , a steal and a block",1.0
9,"Marquese Chriss followed with 12 points , three rebounds , two assists and a block",1.0
10,"Marquese Chriss was productive in a reserve role as well with 14 points , three rebounds , two assists and a block",1.0
11,"Phoenix was led by Brandon Knight 's 12 points , six assists , two rebounds and a pair of steals",1.0
12,"Eric Bledsoe was right behind him with 14 points , seven assists , seven rebounds and a pair of blocks",1.0
13,"Terrence Jones was next with a near double - double of 12 points , nine rebounds , six assists , two steals and a block",1.0
14,"Buddy Hield led the second unit with 11 points , five rebounds , four assists and a steal",1.0
15,The Suns remain in last place in the Western Conference 's Southwest Division,1.0
16,They head to Minnesota to take on the Timberwolves on Monday,1.0
17,"Jrue Holiday followed with 20 points , seven assists , four rebounds and three steals",1.0
18,"Buddy Hield followed with 11 points , four assists , a rebound and a steal",1.0
19,"Buddy Hield led the bench with 11 points , four assists , a rebound and a steal",1.0
20,The Pelicans remain in last place in the Western Conference 's Southwest Division,1.0
21,They remain home to face the Golden State Warriors on Monday .,1.0
22,"The Oklahoma City Thunder ( 50 - 22 ) defeated the visiting Utah Jazz ( 35 - 37 ) 113 - 91 , on Friday night at Chesapeake Energy Arena",1.0
23,"This game was tight throughout the first half , but the Thunder came out strong in the third quarter , out - scoring the Jazz 29 - 8",1.0
24,"The Jazz came out strong in the third quarter , out - scoring the Jazz 29 - 8 , but the Thunder battled back in the second and third quarters , where they out - scored the Jazz 59 - 42 , to tie the game on a 24 - 2 run",1.0
25,"Oklahoma City was led by Russell Westbrook , who scored a game - high 15 points ( 6 - 15 FG , 1 - 3 3Pt , 2 - 3 FT ) , along with nine assists , seven rebounds and three steals , in 27 minutes",1.0
26,"Gordon Hayward had six points ( 2 - 6 FG , 0 - 3 3Pt , 2 - 2 FT ) , five assists and two rebounds , while Derrick Favors chipped in seven points ( 3 - 8 FG , 1 - 4 3Pt ) , two rebounds , three assists and three steals , in 29 minutes",1.0
27,"The Jazz had six players score in double figures , including Gordon Hayward",1.0
28,"Hayward finished with six points ( 2 - 6 FG , 0 - 3 3Pt , 2 - 2 FT ) , five assists and two rebounds , in 37 minutes",1.0
29,"Derrick Favors chipped in seven points ( 3 - 8 FG , 1 - 1 FT ) , two rebounds and two steals , in 30 minutes",1.0
30,The Jazz had six players reach double figures in points,1.0
31,The Jazz have now lost two in a row,1.0
32,Next the Jazz will host the Grizzlies on Saturday,1.0
33,The Thunder have a couple of days off before getting back in action on Tuesday in Denver .,1.0
34,"The Golden State Warriors defeated the Los Angeles Clippers , 144 - 98 , at Oracle Arena on Wednesday",1.0
35,"The Warriors ( 40 - 7 ) came in to the game looking to keep pace with the red - hot Clippers ( 30 - 18 ) , who were coming off of a win against the defending champion Cleveland Cavaliers ( 30 - 18 ) in the first round of the playoffs",1.0
36,"Kevin Durant was the high - point man for the Warriors ( 40 - 18 ) , posting a team - high 23 points on 9 - of - 11 shooting , including 3 - of - 4 from long range",1.0
37,"Austin Rivers chipped in 10 points on 3 - of - 11 shooting , to go along with six rebounds , six assists and one steal , in 38 minutes , while James Michael Felton chipped in 10 points , seven rebounds and five assists , in 28 minutes off the bench",1.0
38,"The Clippers were led by Stephen Curry , who finished with 43 points , six assists and nine rebounds",1.0
39,"JJ Thompson chipped in 16 points , one rebound and one steal .",1.0
40,"The Atlanta Hawks defeated the New York Knicks , 142 - 139 , at Phillips Arena on Saturday night",1.0
41,"The Hawks ( 28 - 20 ) learned earlier in the day that they 'd ca n't disappoint this season , and the Hawks ( 28 - 28 ) were able to escape with a win",1.0
42,"Carmelo Anthony led the way for the Hawks ( 21 - 20 ) with a 45 - point , 19 - rebound , four - assist triple - double that also included four steals , a pair of blocks , a pair of blocks and a block",1.0
43,"Courtney Lee was next with 17 points , nine rebounds , two assists , two steals and a block",1.0
44,"Carmelo Anthony paced the Hawks with a game - high 45 points , six rebounds , four assists and a block",1.0
45,"Brandon Jennings was next with a 18 - point , 3 - assist double - double that also included three rebounds and a steal",1.0
46,"Dwight Howard posted a 19 - point , 12 - rebound double - double that also included an assist and a block",1.0
47,"Joakim Noah supplied six points , five rebounds , five assists , three steals and two blocks",1.0
48,The Houston Rockets defeated the host Dallas Mavericks 123 - 107 at American Airlines Center on Wednesday,1.0
49,"The Rockets ( 24 - 9 ) came into this game winners of five of their last eight games , but this was a great performance against the Mavericks",1.0
50,"Ryan Anderson followed up with 22 points on 7 - of - 12 shooting , including 4 - of - 7 from long range , in 27 minutes off the bench",1.0
51,The Rockets will look to get back on track as they play host to the Mavericks on Monday,1.0
52,"The Mavericks ( 9 - 23 ) have now won five of their last six games , as they continue to fall down the standings",1.0
53,Dallas will look to get back on track as they play host to the Mavericks on Monday .,1.0
54,"The Indiana Pacers defeated the Charlotte Hornets , 110 - 94 , at Bankers Life Fieldhouse on Wednesday",1.0
55,Indiana was expected to win this game easily and they left no doubt with this overtime win,1.0
56,"In fact , the Pacers led for the entirety of the second half , as they outscored the Hornets , 34 - 21 , in the fourth quarter",1.0
57,"Rebounding was a huge factor in the win , with the Pacers winning that battle , 42 - 34",1.0
58,"The Hornets ( 14 - 11 ) have now won five of their last seven games , as they continue to play well",1.0
59,"Kemba Walker did all he could for Charlotte , as he led the team with 12 points , two rebounds and five assists",1.0
60,"Cody Zeller was the only other starter in double figures , as he accrued 11 points , seven rebounds and two blocks",1.0
61,On deck for Charlotte is a road matchup with the Los Angeles Clippers on Monday,1.0
62,"The Pacers ( 13 - 12 ) have now won five of their last six games , as they continue to look like a great team",1.0
63,"Myles Turner was second on the team , as he accrued 22 points , seven rebounds and four blocks",1.0
64,The Toronto Raptors ( 17 - 11 ) defeated the Miami Heat ( 15 - 10 ) 108 - 94 on Wednesday at American Airlines Arena in Miami,1.0
65,"The Raptors got off to a hot start in this game , out - scoring the Heat 64 - 52 in the first half alone",1.0
66,"They were also able to out - score the Heat 50 - 38 in the second half , allowing them to coast to an easy victory in front of their home crowd",1.0
67,"The Raptors were led by Kyle Lowry , who finished with 21 points ( 8 - 18 FG , 1 - 4 3Pt , 4 - 4 FT ) , four assists and four steals",1.0
68,"DeMarre Carroll chipped in with 13 points ( 5 - 9 FG , 1 - 2 3Pt , 2 - 2 FT ) and five assists , while Gerald Green came off the bench to score 20 points ( 7 - 15 FG , 5 - 10 3Pt , 1 - 1 FT ) in just his second NBA regular season game ever",1.0
69,The Heat will look to get back on track in the second half of a back - to - back when they travel to Cleveland to take on the Cavaliers on Sunday night,1.0
70,Miami has now lost three straight games,1.0
71,"Hassan Whiteside had a strong showing as well , finishing with a team - high of 20 points ( 7 - 15 FG , 5 - 10 3Pt , 1 - 1 FT )",1.0
72,"He 's now combined for 37 points in the last two games , as he continues to stay very consistent for the Heat",1.0
73,Miami will look to get back on track in their next game on Sunday against the Timberwolves .,1.0
74,The Washington Wizards ( 36 - 39 ) defeated the Sacramento Kings ( 30 - 45 ) 111 - 120 on Saturday,1.0
75,Washington has won two straight and three of their last five games,1.0
76,"Bradley Beal led the way with a game - high 20 points , while Markieff Morris added 13 points , and Markieff Morris chipped in 13",1.0
77,Bradley Beal led the way for the Kings with 24 points and 10 rebounds,1.0
78,"Both teams play on Friday , as the Wizards host the Washington Wizards ( 25 - 36 ) , while the Kings host the Washington Wizards ( 25 - 30 ) .",1.0
79,"The Atlanta Hawks defeated the Atlanta Hawks , 110 - 110 , at Quicken Loans Arena on Saturday night",1.0
80,"In a battle between two struggling teams , the Hawks were able to prevail with a huge road win",1.0
81,"In fact , the Hawks outscored the Hawks , 37 - 20 , in the fourth quarter",1.0
82,"The assist - to - turnover ratio was the decisive statistic , with the Hawks recording 21 assists to 19 turnovers , while the Cavaliers committed 19 turnovers to just 21 assists",1.0
83,"The Hawks ( 5 - 2 ) have now won three of their last five games , as they continue to struggle",1.0
84,"Dwight Howard was the player of the game , as he tallied 17 points , 17 rebounds and three blocks on 3 - of - 5 shooting",1.0
85,"Kent Bazemore was n't far behind , tallying 25 points , six rebounds and three assists",1.0
86,"Kent Bazemore was the only other starter in double figures , totaling 25 points , six rebounds and three assists",1.0
87,Atlanta will look to bounce back on Sunday in a home matchup against the Toronto Raptors,1.0
88,"The Cavaliers ( 6 - 1 ) have now won three of their last five games , as they continue to struggle",1.0
89,"LeBron James did all he could for Cleveland , as he led the team with 23 points , nine rebounds and five assists",1.0
90,"Kyrie Irving was second on the team , as he accrued 29 points , four rebounds and four assists",1.0
91,"Kevin Love finished second on the team , collecting 24 points , 11 rebounds and three steals",1.0
92,"Tristan Thompson was a nice spark off the bench , providing 25 points , two rebounds and four assists",1.0
93,Cleveland will look to bounce back on Sunday in a home matchup against the Orlando Magic .,1.0
94,The Boston Celtics ( 1 - 1 ) defeated the Toronto Raptors ( 2 - 0 ) 103 - 113 on Friday at the TD Garden in Boston,1.0
95,The Celtics had a strong first half where they out - scored the Raptors 50 - 38 in the second half to pull away in the second half,1.0
96,Jonas Valanciunas put up six points and a team - high 10 rebounds in 23 minutes off the bench,1.0
97,"The Celtics ' next game is on the road against the Atlanta Hawks on Friday , while the Raptors will travel to Charlotte to take on the Hornets on Friday .",1.0
98,"In fact , the Jazz led for the majority of the game , as they outscored the Lakers by 16 in the fourth quarter",1.0
99,"Rebounding was key for the Jazz , as they held the Lakers to 38 percent from the field and 24 percent from three - point range",1.0
100,"Rebounding was a huge factor as well , with the Jazz winning that battle , 43 - 24",1.0
101,"D'Angelo Russell led the team in scoring , as he tallied 17 points , five rebounds and five assists",1.0
102,"Luol Deng was the only other starter in double figures , as he totaled 12 points and 12 rebounds",1.0
103,"D'Angelo Russell led the Lakers in scoring , as he tallied 17 points , five rebounds and five assists",1.0
104,"Luol Deng was the only other starter in double figures , as he totaled 12 points and 12 rebounds",1.0
105,On deck for Los Angeles is a home matchup against the Portland Trail Blazers on Sunday,1.0
106,"The Jazz ( 1 - 1 ) have now won four of their last five games , as they continue to struggle",1.0
107,"Rudy Gobert finished second on the team , totaling 13 points , 13 rebounds and four blocks",1.0
108,The Jazz will look to bounce back on Sunday in a home matchup against the Portland Trail Blazers .,1.0
109,"The Chicago Bulls defeated the host Toronto Raptors , 105 - 94 , at United Center on Friday evening",1.0
110,"The Bulls ( 32 - 29 ) came into this game as one of the hottest teams in the NBA , and the Raptors ( 32 - 24 ) were able to keep the game close throughout",1.0
111,"The Bulls ( 32 - 24 ) were without Dwyane Wade ( knee ) in the second half of a back - to - back set , but Jimmy Butler was able to pull away in the final minute of the fourth quarter",1.0
112,"Butler finished with 19 points , 12 assists , two rebounds and five steals on 2 - of - 10 shooting , while DeMar DeRozan added 18 points , three rebounds and three assists on 5 - of - 19 shooting",1.0
113,"Jimmy Butler was the high - point man for Chicago , with 19 points , to go along with two rebounds , 12 assists and five steals , in 38 minutes",1.0
114,"Jimmy Butler led the way for the Raptors with 19 points , two rebounds and 12 assists , in 38 minutes",1.0
115,"DeMar DeRozan followed up with 18 points , five rebounds and three assists , in 38 minutes",1.0
116,"Taj Gibson chipped in 14 points and four rebounds , while Norman Powell added 13 points on 4 - of - 8 shooting , in 18 minutes off the bench",1.0
117,"The Pacers got off to a strong start in this game , out - scoring the Celtics 64 - 48 in the first half alone",1.0
118,"They were also able to get it done in the second half , where they out - scored the Celtics 59 - 42 , allowing them to coast to a victory on the road",1.0
119,"CJ Miles chipped in with 17 points ( 6 - 10 FG , 1 - 4 3Pt , 4 - 4 FT ) and five rebounds , while Isaiah Thomas chipped in with 14 points ( 4 - 13 FG , 1 - 4 3Pt , 5 - 7 FT ) , three rebounds and four assists",1.0
120,"Evan Turner led the way , scoring 20 points ( 9 - 13 FG , 0 - 0 3Pt , 2 - 2 FT ) to go along with three rebounds",1.0
121,"He 's now combined for 52 points in his last two games , so it was good to see him get back on track",1.0
122,"The only other player to reach double figures in points was Isaiah Thomas , who recorded 14 points ( 4 - 13 FG , 1 - 4 3Pt , 5 - 7 FT ) and three rebounds",1.0
123,Boston will look to continue their winning ways on the road Thursday against the Boston Celtics,1.0
124,"The Celtics ' next game will be on the road against the Cleveland Cavaliers on Friday , while the Celtics will travel to Indiana to play the Pacers on Wednesday .",1.0
125,The Houston Rockets ( 4 - 3 ) defeated the LA Clippers ( 4 - 2 ) 109 - 105 on Wednesday at the Staples Center in LA,1.0
126,"The Clippers were the superior shooters in this game , going 44 percent from the field and 23 percent from the three - point line , while the Clippers went 48 percent from the floor and just 18 percent from beyond the arc",1.0
127,"The Rockets were led by Blake Griffin , who went 14 - for - 22 from the field and 0 - for - 1 from the three - point line to score a game - high of 35 points , while also adding 11 rebounds and five assists",1.0
128,He 's now averaging 46 points per game on the season,1.0
129,He 's now averaging 16 points and 7 rebounds on the year,1.0
130,"JJ Redick also had a solid showing , posting 19 points ( 8 - 15 FG , 3 - 4 3Pt , 3 - 4 FT ) and three assists",1.0
131,"It was his second double - double in a row , as he 's combined for 48 points and 14 rebounds over his last two games",1.0
132,"The Rockets ' next game will be on the road against the Los Angeles Lakers on Wednesday , while the Clippers will travel to Los Angeles to play the Lakers on Friday , while the Clippers will travel to Los Angeles to play the Lakers on Friday .",1.0
133,The Portland Trail Blazers ( 7 - 10 ) defeated the Los Angeles Lakers ( 2 - 13 ) 108 - 96 on Friday at the Moda Center in Portland,1.0
134,"He 's combined for 37 points over his last two games , as he continues to be a force on the boards",1.0
135,Lillard on the other hand shot 12 - for - 20 from the field and 4 - for - 7 from the three - point line to score 28 points,1.0
136,"It was his second strong showing in a row , as he 's combined for 56 points and 22 rebounds over his last two games",1.0
137,"The only other player to reach double figures in points was Kobe Bryant , who came off the bench for 21 points ( 7 - 20 FG , 1 - 5 3Pt , 6 - 7 FT ) , two rebounds and two assists",1.0
138,"It was far - and - away his best game of the year so far , as it marked a new season - high in points for the guard",1.0
139,"The only other player to reach double figures in points was Jordan Clarkson , who finished with 19 points ( 8 - 15 FG , 2 - 5 3Pt , 1 - 2 FT ) , two assists and four steals",1.0
140,"It was the first time he 's surpassed the 20 - point mark this season , so it was good to see him get back on track",1.0
141,"Jordan Clarkson led the way with 19 points ( 8 - 15 FG , 2 - 5 3Pt , 1 - 2 FT ) , four assists and four steals , while Clarkson had 19 points ( 8 - 15 FG , 2 - 5 3Pt , 1 - 2 FT ) of his own , to go along with four assists and four steals",1.0
142,"The Trail Blazers ' next game will be at home against the Portland Trail Blazers on Friday , while the Lakers will travel to Sacramento to play the Kings on Friday .",1.0
143,"In fact , Oklahoma City outscored Miami , 46 - 34 in the second half to pull out a win",1.0
144,"Rebounding was the biggest factor for Oklahoma City , as they won that battle , 46 - 34",1.0
145,"Steven Adams was second on the team , totaling 15 points , eight rebounds and two blocks",1.0
146,"Andre Roberson and Domantas Sabonis were the only other Thunder players in double figures , as they scored just 1 points a piece",1.0
147,"Domantas Sabonis played well off the bench , providing six points and five rebounds",1.0
148,On deck for the Thunder is a road matchup with the Orlando Magic on Monday,1.0
149,"Miami ( 10 - 22 ) have been one of the best teams in the NBA across the last two months , as this marks their 10th win in their last eight games",1.0
150,"Josh Richardson led the team in scoring , as he collected 22 points , five rebounds and three assists off the bench",1.0
151,"Tyler Johnson was second on the team , as he accrued 15 points , two rebounds and two assists",1.0
152,"Josh Richardson led the bench in scoring , accruing 22 points , five rebounds and three assists",1.0
153,Miami will host the Boston Celtics for their next game on Saturday .,1.0
154,"The Spurs ( 13 - 3 ) checked in to Thursday 's contest with a mere nine points over the Celtics ( 9 - 7 ) at home , but it was n't enough to keep the Celtics ( 9 - 7 ) to their eighth home victory of the season",1.0
155,"Avery Bradley added 19 points on 8 - of - 15 shooting , while David Lee chipped in 15 points off the bench",1.0
